,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal
53,3,5,True,50,2,0.6818786184581264,3600.0451171398163,109406.0,90.03862386984181
54,4,5,True,50,2,0.6664595168277107,3600.0282871723175,72675.0,56.53881240630224
55,0,5,True,50,3,0.6539099233434763,3600.047250032425,116910.0,77.68898258392342
56,1,5,True,50,3,0.8221512907978311,3600.0436980724335,12031.0,57.91233871682938
57,2,5,True,50,3,0.7921407669168975,3600.02637386322,4631.0,59.139645386851136
58,3,5,True,50,3,0.8121762880489048,3600.025703907013,58434.0,65.67184052169925
59,4,5,True,50,3,0.617575613653078,3600.0490210056305,75023.0,71.71140875057885
60,0,5,True,60,1,0.7823311305918039,3600.0982410907745,56978.0,104.73525675027872
61,1,5,True,60,1,0.7214116337851615,3600.009765148163,57204.0,89.23101523548482
62,2,5,True,60,1,0.7392418306968153,3600.0044000148773,7617.0,101.45500252245068
63,3,5,True,60,1,0.7742725107854692,3600.058543920517,57249.0,87.8494761621998
64,4,5,True,60,1,0.6795046121977452,3600.032189846039,32220.0,100.64240589799951
65,0,5,True,60,2,0.7954712824023488,3600.056499004364,76462.0,65.03975880655716
66,1,5,True,60,2,0.6141320271575956,3600.0122520923615,55766.0,66.90212835565994
67,2,5,True,60,2,0.8003162479986773,3601.245717048645,24602.0,74.85670928290409
68,3,5,True,60,2,0.8591404705615107,3600.015725851059,49863.0,84.18332776927603
69,4,5,True,60,2,0.7217844397593274,3600.0123159885406,369473.0,83.21899434186493
70,0,5,True,60,3,0.8212024792493696,3600.0129220485687,86880.0,60.73574298346064
71,1,5,True,60,3,0.8566335433159171,3600.0048038959503,3058.0,68.02661821597292
72,2,5,True,60,3,0.7435696075253664,3600.017473936081,134443.0,58.33767260342386
73,3,5,True,60,3,0.6355397048543004,3600.112562894821,73357.0,78.3002563564198
74,4,5,True,60,3,0.5442567511508168,3600.0334548950195,136417.0,55.76280191953997
75,0,5,False,20,1,0.7273121454426081,3600.028897047043,15211.0,112.12063702710014
76,1,5,False,20,1,0.7623981820539083,3600.0043330192566,10910.0,104.7629872358884
77,2,5,False,20,1,0.7858977006052952,3600.0429430007935,34631.0,169.12005175553747
78,3,5,False,20,1,0.7938487439778596,3600.0475940704346,15258.0,97.47854991994167
79,4,5,False,20,1,0.8298728782344625,3600.007127046585,3372.0,180.58572393265393
80,0,5,False,20,2,0.6617010126015658,3600.07745218277,100207.0,83.27826623061362
81,1,5,False,20,2,0.866524894639457,3600.0556120872498,49109.0,161.5436346876155
82,2,5,False,20,2,0.8374587339966151,3600.00980591774,72357.0,123.98951655083434
83,3,5,False,20,2,0.8550864664401933,3600.012097120285,33607.0,120.02136922143181
84,4,5,False,20,2,0.8279713881592448,3600.0142829418182,80742.0,193.20490395778762
85,0,5,False,20,3,0.9491098542112275,3600.0115020275116,22457.0,171.58888044252876
86,1,5,False,20,3,0.9239393024501069,3600.0160422325134,43241.0,139.62407878437293
87,2,5,False,20,3,0.7491332765550408,3600.031893014908,67231.0,133.9031155993951
88,3,5,False,20,3,0.8791874636754846,3600.065472126007,36361.0,91.04346282424319
89,4,5,False,20,3,0.902608917452365,3600.018635034561,63738.0,160.30800585925758
90,0,5,False,30,1,0.7555262126371768,3600.033345937729,3202.0,119.44599603943111
91,1,5,False,30,1,0.7480777108098946,3600.008229970932,22310.0,96.08064676607773
92,2,5,False,30,1,0.7383423546564575,3600.0076649188995,26730.0,192.5971496953499
93,3,5,False,30,1,0.6518229076324523,3600.0092368125916,31771.0,108.6992130391036
