,Instance,Size,Alpha_e,time_endurancerance,fleet_sizeP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
66,3,10,False,20,1,0.8237987697923759,7200.678611755371,2182.0,228.89242607878595,113.95136499404907,228.9702417605843
67,4,10,False,20,1,0.8591542716095512,7200.15104675293,2252.0,269.0129817261668,119.46263098716736,269.0129817261668
68,0,10,False,20,2,0.8680330227881117,7200.271905899048,2177.0,224.63709184489005,111.6883795261383,224.63709184489005
69,1,10,False,20,2,,,,,Grid,Stages
70,2,10,False,20,2,0.896009508772533,7200.334699630737,2117.0,240.23960017333044,86.82787680625916,240.24661443101604
71,3,10,False,20,2,0.9092375779446374,7200.373044967651,2221.0,306.293710829213,89.4797887802124,306.293710829213
72,4,10,False,20,2,0.8724658535420888,7200.404834747314,2203.0,209.55799962509792,90.13802790641785,210.3213113604702
73,0,10,False,20,3,0.9524228137177493,7200.666597366333,14894.0,183.85512519616032,69.32062244415283,189.5387913373631
74,1,10,False,20,3,0.9973439665449565,7200.938079833984,18578.0,210.14925070026055,86.23945164680481,210.14925070026055
75,2,10,False,20,3,0.9231708640181849,7201.184789657593,2157.0,254.6010133166565,74.42802572250366,254.8320533167173
76,3,10,False,20,3,,,,,Grid,Stages
77,4,10,False,20,3,,,,,Grid,Stages
78,0,10,False,30,1,0.8057407951732307,7201.208282470703,2266.0,229.81772995292476,163.7762372493744,230.38795866694718
79,1,10,False,30,1,0.7928028452113837,7200.790189743042,2442.0,219.046158974316,137.1004798412323,224.36837958988923
80,2,10,False,30,1,0.8299902567059037,7200.319595336914,2590.0,226.88721868261706,140.89034819602966,233.0241391824527
81,3,10,False,30,1,0.814767264285582,7200.22068977356,2210.0,202.36283191204,104.31014227867126,205.65931357233106
82,4,10,False,30,1,0.7530965888662741,7200.220914840698,2618.0,234.51656736246053,117.27250957489014,234.7024105289336
83,0,10,False,30,2,0.8697178353369658,7200.283123016357,2135.0,221.50844552144585,76.62016797065735,221.56080435913137
84,1,10,False,30,2,0.857764961472802,7200.359506607056,2139.0,151.36557929648683,82.25011420249939,151.8512684114177
85,2,10,False,30,2,0.8473069649296578,7200.284795761108,2317.0,157.3315533240639,91.54426693916321,157.6509089548444
86,3,10,False,30,2,,,,,Grid,Stages
87,4,10,False,30,2,0.8317370129607135,7200.55421257019,2278.0,158.6626709172856,103.68481421470642,158.6626709172856
88,0,10,False,30,3,,,,,Grid,Stages
89,1,10,False,30,3,0.9259952454495645,7200.3192138671875,2185.0,137.50013777434864,84.35548639297485,137.50013777434864
90,2,10,False,30,3,0.9431366266624068,7200.324213027954,2207.0,207.44875164879178,58.497615814208984,216.1689339444847
91,3,10,False,30,3,0.8765191467744531,7200.896587371826,2114.0,152.7134121634658,103.55316638946533,152.81818857689143
92,4,10,False,30,3,0.9040748269154698,7200.76944732666,17890.0,224.04383131247982,85.70488023757935,225.0827686433135
93,0,10,False,40,1,0.8260228509251192,7200.236103057861,2497.0,195.07801690568434,123.7795479297638,195.51230797873814
94,1,10,False,40,1,0.8173207759291365,7200.095607757568,2206.0,214.2992119350305,155.65386772155762,244.8941140024603
95,2,10,False,40,1,0.7816777601665269,7200.241416931152,2859.0,232.5451501869191,126.56664228439331,232.54538542859493
96,3,10,False,40,1,0.7618678659008549,7200.143352508545,2773.0,204.01621251818287,93.15895175933838,233.59105726281007
